id,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighteddegree,authority,hub,clustering,triangles,eigencentrality
632,826,2,0.994019,0.996992,5.90E-05,24587,0.03552,0.03552,0.97154,331028,0.998514
633,824,2,0.991647,0.995788,5.30E-05,14177,0.035468,0.035468,0.973425,330065,0.997039
634,810,2,0.975352,0.987365,3.10E-05,10729,0.035018,0.035018,0.982054,321765,0.984332
635,824,2,0.991647,0.995788,5.00E-05,14624,0.035471,0.035471,0.973596,330123,0.99712
636,695,2,0.859359,0.918171,4.00E-06,1410,0.030258,0.030258,0.995804,240153,0.85052
637,816,2,0.98227,0.990975,3.00E-05,12441,0.035267,0.035267,0.981517,326374,0.991357
638,824,2,0.991647,0.995788,4.80E-05,20329,0.035481,0.035481,0.97415,330311,0.997406
639,823,2,0.990465,0.995187,4.10E-05,23360,0.035476,0.035476,0.976257,330222,0.997251
640,782,2,0.944318,0.970517,8.00E-06,4640,0.034008,0.034008,0.993706,303449,0.955897
641,828,2,0.996403,0.998195,8.10E-05,33493,0.035546,0.035546,0.968266,331513,0.999266
642,819,2,0.985765,0.99278,3.80E-05,16335,0.035341,0.035341,0.978362,327723,0.993441
643,784,2,0.946469,0.971721,1.40E-05,5768,0.034043,0.034043,0.990711,304085,0.956903
644,807,2,0.97193,0.98556,2.60E-05,7449,0.034923,0.034923,0.984069,320040,0.98167
645,817,2,0.983432,0.991576,3.40E-05,10507,0.035283,0.035283,0.979936,326648,0.991795
646,821,2,0.988109,0.993983,4.70E-05,12443,0.035386,0.035386,0.976082,328559,0.994729
647,578,2,0.766605,0.847774,1.00E-06,1118,0.025268,0.025268,0.999202,166620,0.710244
648,821,2,0.988109,0.993983,4.40E-05,20093,0.035391,0.035391,0.976323,328640,0.994851
649,826,2,0.994019,0.996992,6.10E-05,13705,0.035511,0.035511,0.971026,330853,0.998247
650,828,2,0.996403,0.998195,8.00E-05,36797,0.035549,0.035549,0.96838,331552,0.999325
651,822,2,0.989286,0.994585,4.30E-05,18478,0.035443,0.035443,0.97678,329596,0.996302
652,547,2,0.745291,0.829122,2.00E-06,1085,0.023886,0.023886,0.997931,149022,0.671416
653,822,2,0.989286,0.994585,4.40E-05,25267,0.035429,0.035429,0.976022,329340,0.995913
654,820,2,0.986936,0.993381,3.80E-05,18187,0.035384,0.035384,0.978347,328519,0.99465
655,814,2,0.979953,0.989771,3.10E-05,9379,0.035187,0.035187,0.981879,324895,0.989107
656,811,2,0.976498,0.987966,3.00E-05,7266,0.035049,0.035049,0.981437,322358,0.985234
657,820,2,0.986936,0.993381,3.60E-05,20254,0.035392,0.035392,0.978802,328672,0.994876
658,825,2,0.992832,0.99639,5.20E-05,15011,0.035501,0.035501,0.972848,330671,0.997958
659,827,2,0.99521,0.997593,6.40E-05,33568,0.035536,0.035536,0.970037,331317,0.99896
660,820,2,0.986936,0.993381,3.80E-05,11786,0.035377,0.035377,0.977945,328384,0.994446
661,819,2,0.985765,0.99278,3.20E-05,10340,0.035361,0.035361,0.979458,328090,0.993995
662,792,2,0.955172,0.976534,1.50E-05,6230,0.034368,0.034368,0.989494,309945,0.966038
663,802,2,0.966279,0.982551,2.30E-05,11658,0.034739,0.034739,0.985984,316699,0.976478
664,825,2,0.992832,0.99639,5.40E-05,19675,0.035503,0.035503,0.97298,330716,0.998026
665,807,2,0.97193,0.98556,4.40E-05,11044,0.034838,0.034838,0.97926,318476,0.9793
666,819,2,0.985765,0.99278,3.20E-05,17732,0.035373,0.035373,0.980121,328312,0.994322
667,822,2,0.989286,0.994585,3.70E-05,17366,0.035456,0.035456,0.977554,329857,0.996688
668,731,2,0.892589,0.939832,5.00E-06,1789,0.031829,0.031829,0.995285,265557,0.894655
669,817,2,0.983432,0.991576,4.40E-05,12801,0.03525,0.03525,0.978109,326039,0.990879
670,825,2,0.992832,0.99639,0.000132,25051,0.035477,0.035477,0.971553,330231,0.997296
671,824,2,0.991647,0.995788,4.90E-05,17959,0.03548,0.03548,0.974109,330297,0.997382
672,754,2,0.915198,0.95367,7.00E-06,3695,0.032836,0.032836,0.995921,282723,0.922952
673,823,2,0.990465,0.995187,4.10E-05,20739,0.035476,0.035476,0.976257,330222,0.997251
674,826,2,0.994019,0.996992,5.80E-05,18770,0.035523,0.035523,0.971696,331081,0.998589
675,830,2,0.998798,0.999398,0.000121,40544,0.035569,0.035569,0.96482,331932,0.999924
676,822,2,0.989286,0.994585,4.50E-05,24049,0.035423,0.035423,0.975708,329234,0.995755
677,827,2,0.99521,0.997593,6.20E-05,27901,0.035542,0.035542,0.970373,331432,0.999131
678,826,2,0.994019,0.996992,5.40E-05,31240,0.03553,0.03553,0.972095,331217,0.998793
679,757,2,0.918232,0.955475,5.00E-06,1747,0.032965,0.032965,0.995726,284923,0.926585
680,813,2,0.978799,0.98917,3.70E-05,12253,0.035124,0.035124,0.980771,323731,0.987343
681,792,2,0.955172,0.976534,1.40E-05,5504,0.034375,0.034375,0.989896,310071,0.966249
682,827,2,0.99521,0.997593,6.40E-05,21159,0.035536,0.035536,0.970037,331317,0.99896
683,823,2,0.990465,0.995187,6.10E-05,21064,0.035436,0.035436,0.974055,329477,0.996133
684,813,2,0.978799,0.98917,2.70E-05,10414,0.035156,0.035156,0.982534,324313,0.98821
685,825,2,0.992832,0.99639,7.10E-05,13892,0.035478,0.035478,0.971606,330249,0.997321
686,817,2,0.983432,0.991576,2.80E-05,10632,0.035308,0.035308,0.981358,327122,0.992511
687,828,2,0.996403,0.998195,8.10E-05,28966,0.035546,0.035546,0.968266,331513,0.999266
688,825,2,0.992832,0.99639,5.40E-05,20839,0.035501,0.035501,0.972868,330678,0.997969
689,828,2,0.996403,0.998195,6.60E-05,32945,0.03556,0.03556,0.96897,331754,0.999631
690,831,1,1,1,0.000176,37496,0.035571,0.035571,0.962623,331975,1
691,827,2,0.99521,0.997593,6.40E-05,29422,0.035536,0.035536,0.970037,331317,0.99896
692,779,2,0.94111,0.968712,1.30E-05,4184,0.033848,0.033848,0.992073,300629,0.951416
693,827,2,0.99521,0.997593,6.30E-05,27353,0.03554,0.03554,0.970259,331393,0.999077
694,824,2,0.991647,0.995788,5.20E-05,20552,0.035479,0.035479,0.974041,330274,0.997352
695,823,2,0.990465,0.995187,4.90E-05,13160,0.035434,0.035434,0.973916,329430,0.996071
696,796,2,0.959584,0.978941,1.80E-05,6518,0.034499,0.034499,0.987134,312339,0.969745
697,736,2,0.897408,0.94284,1.00E-06,1947,0.032108,0.032108,0.999246,270276,0.902487
698,794,2,0.957373,0.977738,2.20E-05,4670,0.034386,0.034386,0.985436,310236,0.966573
699,823,2,0.990465,0.995187,0.000129,16055,0.035417,0.035417,0.973032,329131,0.995609
700,821,2,0.988109,0.993983,3.70E-05,21834,0.035418,0.035418,0.977835,329149,0.99561
701,800,2,0.964037,0.981348,4.10E-05,8089,0.03461,0.03461,0.98357,314349,0.972864
702,828,2,0.996403,0.998195,8.20E-05,28286,0.035542,0.035542,0.968029,331432,0.999146
703,643,2,0.815505,0.886883,1.20E-05,1470,0.02793,0.02793,0.991643,204678,0.785115
704,828,2,0.996403,0.998195,8.10E-05,36996,0.035546,0.035546,0.968266,331513,0.999266
705,819,2,0.985765,0.99278,3.80E-05,9601,0.03534,0.03534,0.978321,327709,0.993422
706,823,2,0.990465,0.995187,5.00E-05,13299,0.035439,0.035439,0.974232,329537,0.996228
707,824,2,0.991647,0.995788,4.60E-05,27694,0.035491,0.035491,0.974681,330491,0.997676
708,795,2,0.958478,0.978339,1.50E-05,5843,0.034494,0.034494,0.98937,312260,0.969591
709,785,2,0.947548,0.972323,1.60E-05,7619,0.034069,0.034069,0.989695,304549,0.957625
710,656,2,0.826044,0.894705,6.00E-06,1157,0.028567,0.028567,0.995234,213816,0.802987
711,788,2,0.950801,0.974128,1.10E-05,5551,0.034233,0.034233,0.991551,307458,0.962246
712,822,2,0.989286,0.994585,4.60E-05,16724,0.035419,0.035419,0.975503,329165,0.995645
713,822,2,0.989286,0.994585,4.30E-05,19420,0.03543,0.03543,0.976087,329362,0.995948
714,789,2,0.95189,0.974729,1.90E-05,3278,0.034218,0.034218,0.988304,307230,0.961837
715,806,2,0.970794,0.984958,2.20E-05,5903,0.0349,0.0349,0.985173,319605,0.981007
716,815,2,0.98111,0.990373,2.80E-05,7669,0.035225,0.035225,0.981517,325574,0.990152
717,830,2,0.998798,0.999398,0.000121,31363,0.035569,0.035569,0.96482,331932,0.999924
718,820,2,0.986936,0.993381,3.70E-05,11736,0.035379,0.035379,0.978093,328434,0.99452
719,825,2,0.992832,0.99639,5.30E-05,23287,0.035505,0.035505,0.97308,330750,0.998077
720,820,2,0.986936,0.993381,3.50E-05,19814,0.035396,0.035396,0.979026,328747,0.994993
721,822,2,0.989286,0.994585,4.60E-05,12625,0.035416,0.035416,0.975316,329102,0.995553
722,828,2,0.996403,0.998195,0.000108,21692,0.03554,0.03554,0.967921,331395,0.999086
723,827,2,0.99521,0.997593,6.30E-05,22302,0.03554,0.03554,0.970259,331393,0.999077
724,827,2,0.99521,0.997593,6.30E-05,36591,0.03554,0.03554,0.970247,331389,0.999068
725,829,2,0.997599,0.998797,8.50E-05,28643,0.035566,0.035566,0.966967,331869,0.999816
726,742,2,0.903261,0.94645,8.00E-06,3726,0.032279,0.032279,0.993696,273178,0.907323
727,827,2,0.99521,0.997593,7.60E-05,24463,0.035529,0.035529,0.969682,331196,0.998775
728,827,2,0.99521,0.997593,6.20E-05,28507,0.035542,0.035542,0.970373,331432,0.999131
729,799,2,0.96292,0.980746,2.20E-05,9831,0.034616,0.034616,0.986352,314450,0.973025
730,770,2,0.931614,0.963297,1.30E-05,3589,0.033446,0.033446,0.991191,293457,0.940112
731,826,2,0.994019,0.996992,6.80E-05,25157,0.035517,0.035517,0.971361,330967,0.998415
732,829,2,0.997599,0.998797,8.50E-05,28889,0.035566,0.035566,0.966967,331869,0.999816
733,812,2,0.977647,0.988568,2.60E-05,13479,0.035124,0.035124,0.98319,323731,0.987319
734,815,2,0.98111,0.990373,2.90E-05,5985,0.035221,0.035221,0.981321,325509,0.990054
735,823,2,0.990465,0.995187,4.50E-05,14568,0.035455,0.035455,0.975104,329832,0.996669
736,821,2,0.988109,0.993983,3.80E-05,17784,0.035414,0.035414,0.977579,329063,0.995486
737,813,2,0.978799,0.98917,2.50E-05,7492,0.035172,0.035172,0.983428,324608,0.988659
738,823,2,0.990465,0.995187,4.40E-05,17713,0.035467,0.035467,0.975749,330050,0.997001
739,807,2,0.97193,0.98556,2.10E-05,10065,0.034952,0.034952,0.985684,320565,0.98246
740,776,2,0.937923,0.966907,1.10E-05,3478,0.033723,0.033723,0.992218,298360,0.947906
741,744,2,0.905229,0.947653,2.00E-06,2671,0.032445,0.032445,0.998607,276011,0.911954
742,823,2,0.990465,0.995187,7.00E-05,15951,0.035403,0.035403,0.972228,328859,0.995209
743,785,2,0.947548,0.972323,7.30E-05,4908,0.033868,0.033868,0.978263,301031,0.952043
744,776,2,0.937923,0.966907,2.50E-05,3760,0.033594,0.033594,0.984929,296168,0.944306
745,700,2,0.863825,0.921179,2.20E-05,1280,0.030456,0.030456,0.992843,242899,0.85609
746,785,2,0.947548,0.972323,9.00E-06,7555,0.03412,0.03412,0.992727,305482,0.959067
747,820,2,0.986936,0.993381,3.30E-05,10425,0.035404,0.035404,0.979419,328879,0.995193
748,825,2,0.992832,0.99639,7.40E-05,24440,0.035461,0.035461,0.970694,329939,0.996861
749,815,2,0.98111,0.990373,2.90E-05,9244,0.03522,0.03522,0.981245,325484,0.990015
750,816,2,0.98227,0.990975,2.90E-05,11268,0.035275,0.035275,0.981944,326516,0.991573
751,823,2,0.990465,0.995187,7.10E-05,13090,0.035399,0.035399,0.972006,328784,0.995096
752,823,2,0.990465,0.995187,4.90E-05,11341,0.035451,0.035451,0.974871,329753,0.996553
753,825,2,0.992832,0.99639,5.40E-05,21120,0.035503,0.035503,0.97298,330716,0.998026
754,809,2,0.974209,0.986763,4.30E-05,12624,0.034883,0.034883,0.976894,319284,0.980573
755,807,2,0.97193,0.98556,3.40E-05,7926,0.034875,0.034875,0.981345,319154,0.980335
756,805,2,0.969662,0.984356,2.30E-05,6617,0.034854,0.034854,0.985047,318771,0.979734
757,802,2,0.966279,0.982551,1.50E-05,5792,0.034795,0.034795,0.989107,317702,0.978045
758,809,2,0.974209,0.986763,4.60E-05,11274,0.034959,0.034959,0.981266,320713,0.982701
759,809,2,0.974209,0.986763,3.10E-05,8804,0.034962,0.034962,0.98137,320747,0.982774
760,827,2,0.99521,0.997593,7.20E-05,29894,0.035537,0.035537,0.970081,331332,0.998978
761,820,2,0.986936,0.993381,4.70E-05,10673,0.035333,0.035333,0.975503,327564,0.993219
762,829,2,0.997599,0.998797,0.000153,32335,0.035548,0.035548,0.966,331537,0.999315
763,816,2,0.98227,0.990975,4.90E-05,9464,0.035213,0.035213,0.978479,325364,0.989848
764,828,2,0.996403,0.998195,6.60E-05,26743,0.03556,0.03556,0.96897,331754,0.999631
765,818,2,0.984597,0.992178,3.40E-05,14878,0.035325,0.035325,0.979892,327434,0.992989
766,827,2,0.99521,0.997593,9.60E-05,27190,0.03552,0.03552,0.969179,331024,0.998516
767,826,2,0.994019,0.996992,9.40E-05,26987,0.035492,0.035492,0.969985,330498,0.997714
