Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
503,,,0.966967,331869,829,35357,2,0.997599,0.998797,29.216735,0.035566,0.035566,4,0.002474,0,0.999837
504,,,0.987376,296904,776,3347,2,0.937923,0.966907,6.547538,0.033643,0.033643,6,0.000404,0,0.945787
505,,,0.981253,323890,813,11339,2,0.978799,0.98917,11.163402,0.035133,0.035133,8,0.000935,0,0.987652
506,,,0.980148,324322,814,9815,2,0.979953,0.989771,11.820613,0.035157,0.035157,8,0.000835,0,0.988334
507,,,0.983574,324656,813,7807,2,0.978799,0.98917,8.444261,0.035174,0.035174,6,0.000704,0,0.988829
508,,,0.976825,328809,821,16264,2,0.988109,0.993983,14.669608,0.0354,0.0354,8,0.001251,0,0.99516
509,,,0.969305,331067,827,21901,2,0.99521,0.997593,26.975934,0.035522,0.035522,8,0.001622,0,0.998614
510,,,0.986947,312280,796,4604,2,0.959584,0.978941,6.95399,0.034499,0.034499,2,0.000487,0,0.969838
511,,,0.979073,328763,820,15703,2,0.986936,0.993381,11.311467,0.035397,0.035397,6,0.001217,0,0.995096
512,,,0.996787,227417,676,1473,2,0.842799,0.906739,1.244732,0.029489,0.029489,8,0.000279,0,0.829009
513,,,0.981143,320673,809,12472,2,0.974209,0.986763,11.286295,0.034958,0.034958,8,0.000999,0,0.982744
514,,,0.976622,327940,820,14205,2,0.986936,0.993381,14.421967,0.035353,0.035353,8,0.001122,0,0.99385
515,,,0.988645,316762,801,7166,2,0.965157,0.981949,5.374103,0.034744,0.034744,8,0.000658,0,0.976719
516,,,0.968228,331500,828,22553,2,0.996403,0.998195,33.679115,0.035546,0.035546,6,0.001669,0,0.999273
517,,,0.96897,331754,828,31109,2,0.996403,0.998195,22.928373,0.03556,0.03556,3,0.002209,0,0.999661
518,,,0.978272,328494,820,14504,2,0.986936,0.993381,12.497287,0.035383,0.035383,2,0.001133,0,0.99469
519,,,0.988692,311261,794,5581,2,0.957373,0.977738,6.090997,0.03444,0.03444,6,0.000554,0,0.968174
520,,,0.983751,323118,811,5649,2,0.976498,0.987966,8.360535,0.035091,0.035091,8,0.000563,0,0.986479
521,,,0.986721,315356,800,7282,2,0.964037,0.981348,6.885091,0.034664,0.034664,6,0.000666,0,0.974491
522,,,0.981781,317714,805,13031,2,0.969662,0.984356,11.326168,0.034794,0.034794,6,0.001037,0,0.978138
